image,Epsilon,label,runtime,network,ds
283,0.101,0,10166.538587808607,mnist-net,train
293,0.089,0,6767.032065153122,mnist-net,train
296,0.091,0,7170.275920152664,mnist-net,train
303,0.069,0,4762.775262594223,mnist-net,train
320,0.067,0,6861.022002458572,mnist-net,train
326,0.073,0,3868.3756642341614,mnist-net,train
359,0.057,0,7489.65344619751,mnist-net,train
399,0.077,0,9164.831037044523,mnist-net,train
427,0.067,0,3652.738286018372,mnist-net,train
429,0.101,0,3940.7161610126495,mnist-net,train
435,0.091,0,6927.703501701355,mnist-net,train
440,0.061,0,2266.3358981609344,mnist-net,train
451,0.045,0,365.8042528629303,mnist-net,train
453,0.065,0,3901.1667408943176,mnist-net,train
458,0.079,0,5512.773598194122,mnist-net,train
462,0.119,0,13728.0155544281,mnist-net,train
464,0.103,0,6514.553504228592,mnist-net,train
473,0.043,0,260.0611650943756,mnist-net,train
489,0.049,0,6927.941735029221,mnist-net,train
519,0.051,0,6204.01833319664,mnist-net,train
524,0.029,0,110.757586479187,mnist-net,train
526,0.095,0,9725.366168260574,mnist-net,train
527,0.049,0,9302.57288622856,mnist-net,train
542,0.033,0,187.05849981307983,mnist-net,train
577,0.049,0,7100.441873073578,mnist-net,train
582,0.051,0,3672.853295326233,mnist-net,train
596,0.097,0,3553.6250858306885,mnist-net,train
603,0.067,0,7163.757476568222,mnist-net,train
612,0.089,0,10222.122339963911,mnist-net,train
633,0.037,0,2949.625556230545,mnist-net,train
639,0.055,0,3619.832543134689,mnist-net,train
656,0.053,0,8266.943652153015,mnist-net,train
662,0.053,0,4382.09899687767,mnist-net,train
666,0.061,0,9768.083919763563,mnist-net,train
667,0.035,0,206.4210283756256,mnist-net,train
668,0.059,0,3864.8320450782776,mnist-net,train
669,0.057,0,3695.4935932159424,mnist-net,train
689,0.043,0,3531.4843764305115,mnist-net,train
702,0.053,0,5129.839177846909,mnist-net,train
709,0.073,0,4895.633164405823,mnist-net,train
712,0.011,0,99.42846632003784,mnist-net,train
733,0.055,0,896.4714028835297,mnist-net,train
743,0.053,0,3497.920104503632,mnist-net,train
745,0.057,0,3743.4068965911865,mnist-net,train
776,0.061,0,7182.536820173264,mnist-net,train
781,0.057,0,6727.922960519791,mnist-net,train
787,0.057,0,6708.1490643024445,mnist-net,train
790,0.061,0,7615.747840642929,mnist-net,train
818,0.053,0,4812.6592128276825,mnist-net,train
825,0.051,0,663.1617908477783,mnist-net,train
849,0.055,0,7019.950467586517,mnist-net,train
859,0.035,0,3659.060372829437,mnist-net,train
860,0.065,0,3691.284398794174,mnist-net,train
869,0.055,0,4645.211737632752,mnist-net,train
872,0.091,0,6019.915814638138,mnist-net,train
889,0.021,0,105.62843585014345,mnist-net,train
903,0.033,0,1074.6014511585236,mnist-net,train
927,0.057,0,6888.712152004242,mnist-net,train
943,0.039,0,3679.685100317001,mnist-net,train
949,0.047,0,2018.991498231888,mnist-net,train
952,0.047,0,3686.906175851822,mnist-net,train
957,0.035,0,3638.702262163162,mnist-net,train
965,0.051,0,4350.973511457443,mnist-net,train
979,0.059,0,4657.742354631424,mnist-net,train
984,0.035,0,305.1343643665314,mnist-net,train
997,0.043,0,858.8111429214478,mnist-net,train
1000,0.051,0,7890.846993923187,mnist-net,train
1015,0.021,0,711.9768488407135,mnist-net,train
1018,0.085,0,4461.196892499924,mnist-net,train
2,0.021,1,698.4199335575104,mnist-net,test
5,0.033,1,6037.282022476196,mnist-net,test
14,0.021,1,695.5557878017426,mnist-net,test
29,0.025,1,1015.3812019824982,mnist-net,test
31,0.023,1,2947.712953090668,mnist-net,test
37,0.027,1,5294.698173522949,mnist-net,test
39,0.017,1,611.9184856414795,mnist-net,test
40,0.017,1,2918.997711420059,mnist-net,test
46,0.021,1,1238.8598527908323,mnist-net,test
57,0.025,1,2872.5230169296265,mnist-net,test
74,0.013,1,368.1980340480805,mnist-net,test
89,0.031,1,3361.118700504303,mnist-net,test
94,0.027,1,385.7748305797577,mnist-net,test
96,0.017,1,528.0861201286316,mnist-net,test
107,0.037,1,3933.2876076698303,mnist-net,test
135,0.017,1,1042.3062624931335,mnist-net,test
137,0.037,1,3693.959340572357,mnist-net,test
143,0.015,1,541.022735118866,mnist-net,test
145,0.027,1,792.4680624008179,mnist-net,test
154,0.023,1,3607.9907064437866,mnist-net,test
168,0.029,1,2622.1303629875183,mnist-net,test
176,0.013,1,270.5141034126282,mnist-net,test
178,0.017,1,1067.389046907425,mnist-net,test
180,0.015,1,810.7881150245667,mnist-net,test
189,0.015,1,699.1566524505615,mnist-net,test
190,0.037,1,4549.41091966629,mnist-net,test
191,0.023,1,1672.9230020046234,mnist-net,test
196,0.017,1,274.7923197746277,mnist-net,test
202,0.039,1,3637.2646791934967,mnist-net,test
203,0.017,1,1253.8537352085114,mnist-net,test
204,0.023,1,2740.6663591861725,mnist-net,test
224,0.021,1,3565.5495109558105,mnist-net,test
228,0.037,1,8038.658339500427,mnist-net,test
239,0.023,1,1309.0366060733795,mnist-net,test
251,0.021,1,1626.8891651630402,mnist-net,test
265,0.025,1,1702.691444158554,mnist-net,test
267,0.031,1,2978.0319623947144,mnist-net,test
272,0.023,1,1479.1063039302826,mnist-net,test
276,0.021,1,1055.714670419693,mnist-net,test
279,0.021,1,989.2550010681152,mnist-net,test
288,0.021,1,1898.32724070549,mnist-net,test
302,0.027,1,2697.541249036789,mnist-net,test
314,0.017,1,1484.1518681049347,mnist-net,test
329,0.019,1,475.4669156074524,mnist-net,test
330,0.021,1,670.3509318828583,mnist-net,test
332,0.027,1,1983.3183937072756,mnist-net,test
342,0.019,1,1191.9443061351776,mnist-net,test
345,0.029,1,2444.44740486145,mnist-net,test
348,0.017,1,1023.5865001678468,mnist-net,test
350,0.025,1,1614.1515052318573,mnist-net,test
354,0.029,1,3444.540268421173,mnist-net,test
357,0.015,1,1162.8096673488617,mnist-net,test
377,0.009,1,162.06110644340515,mnist-net,test
378,0.017,1,808.7046520709991,mnist-net,test
385,0.015,1,242.91107201576236,mnist-net,test
388,0.043,1,6742.794352054596,mnist-net,test
393,0.013,1,661.8427453041077,mnist-net,test
409,0.015,1,712.3104574680328,mnist-net,test
416,0.011,1,124.33600044250488,mnist-net,test
419,0.017,1,392.87057733535767,mnist-net,test
427,0.021,1,775.7305500507355,mnist-net,test
430,0.013,1,507.79852962493896,mnist-net,test
455,0.027,1,2234.3995723724365,mnist-net,test
473,0.023,1,4726.197794914246,mnist-net,test
476,0.017,1,3678.689994335175,mnist-net,test
480,0.027,1,3230.0005962848663,mnist-net,test
489,0.021,1,853.8187730312347,mnist-net,test
504,0.019,1,3676.303983211517,mnist-net,test
506,0.033,1,6705.25691485405,mnist-net,test
523,0.033,1,1593.9031417369845,mnist-net,test
529,0.017,1,540.5575566291809,mnist-net,test
537,0.017,1,954.4767475128174,mnist-net,test
584,0.027,1,4440.622836351395,mnist-net,test
615,0.047,1,6219.475767374039,mnist-net,test
640,0.025,1,1555.0592727661133,mnist-net,test
647,0.027,1,3376.9560928344727,mnist-net,test
652,0.019,1,293.9139287471771,mnist-net,test
663,0.023,1,1031.784594297409,mnist-net,test
672,0.019,1,267.2911186218262,mnist-net,test
675,0.025,1,1257.478733778,mnist-net,test
