epsilon,result,label,runtime,network,image,ds
0.051,sat,0,357.4364149570465,mnist-net,1094,test
0.049,unsat,0,3534.6509523391724,mnist-net,1094,test
0.133,sat,0,3.535651206970215,mnist-net,1121,test
0.265,cancelled,0,6.216085910797119,mnist-net,1121,test
0.087,sat,0,3.552438735961914,mnist-net,1121,test
0.043,sat,0,3.5358681678771973,mnist-net,1121,test
0.019,unsat,0,1.775956392288208,mnist-net,1121,test
0.029,unsat,0,35.51243185997009,mnist-net,1121,test
0.041,sat,0,58.64920496940613,mnist-net,1121,test
0.033,unsat,0,186.25732374191284,mnist-net,1121,test
0.037,sat,0,149.0301637649536,mnist-net,1121,test
0.035,unsat,0,945.560816526413,mnist-net,1121,test
0.265,sat,0,3.506049156188965,mnist-net,1148,test
0.133,sat,0,35.900131702423096,mnist-net,1148,test
0.131,sat,0,32.4786422252655,mnist-net,1148,test
0.063,unsat,0,2.29675555229187,mnist-net,1148,test
0.065,unsat,0,26.12874174118042,mnist-net,1148,test
0.097,unsat,0,3259.634920835495,mnist-net,1148,test
0.115,sat,0,18.732521295547485,mnist-net,1148,test
0.107,sat,0,18.371732473373413,mnist-net,1148,test
0.103,sat,0,18.83634614944458,mnist-net,1148,test
0.101,sat,0,24.183424711227417,mnist-net,1148,test
0.099,unsat,0,3542.0992045402527,mnist-net,1148,test
0.133,sat,0,5.43568754196167,mnist-net,1154,test
0.265,cancelled,0,10.003891944885254,mnist-net,1154,test
0.265,sat,0,5.2908034324646,mnist-net,1154,test
0.087,sat,0,5.303754568099976,mnist-net,1154,test
0.041,unsat,0,109.81305241584778,mnist-net,1154,test
0.043,unsat,0,138.87248277664185,mnist-net,1154,test
0.065,unsat,0,3405.282582044601,mnist-net,1154,test
0.063,cancelled,0,3393.7588646411896,mnist-net,1154,test
0.079,sat,0,5.228337526321411,mnist-net,1154,test
0.073,sat,0,45.27860927581787,mnist-net,1154,test
0.071,sat,0,42.49721455574036,mnist-net,1154,test
0.069,sat,0,452.6365859508514,mnist-net,1154,test
0.067,unsat,0,3310.1442313194275,mnist-net,1154,test
0.265,sat,0,3.531339168548584,mnist-net,1176,test
0.133,sat,0,3.5359206199646,mnist-net,1176,test
0.131,sat,0,3.5640761852264404,mnist-net,1176,test
0.063,sat,0,3.5898776054382324,mnist-net,1176,test
0.065,cancelled,0,12.982315063476562,mnist-net,1176,test
0.021,unsat,0,2.29744815826416,mnist-net,1176,test
0.041,sat,0,120.37518787384032,mnist-net,1176,test
0.043,cancelled,0,117.92162561416626,mnist-net,1176,test
0.027,unsat,0,64.42676591873169,mnist-net,1176,test
0.033,unsat,0,2284.549134254456,mnist-net,1176,test
0.035,unsat,0,3368.8760299682617,mnist-net,1176,test
0.037,unsat,0,3284.954755306244,mnist-net,1176,test
0.039,unsat,0,3366.9105746746063,mnist-net,1176,test
0.265,sat,0,4.332102537155151,mnist-net,1188,test
0.133,sat,0,4.337467908859253,mnist-net,1188,test
0.065,sat,0,4.409284353256226,mnist-net,1188,test
0.131,cancelled,0,7.48888897895813,mnist-net,1188,test
0.131,sat,0,4.403327941894531,mnist-net,1188,test
0.021,unsat,0,2.241791248321533,mnist-net,1188,test
0.041,unsat,0,1132.8881101608276,mnist-net,1188,test
0.053,sat,0,14.044634103775024,mnist-net,1188,test
0.047,sat,0,37.15461206436157,mnist-net,1188,test
0.043,unsat,0,3097.458765745163,mnist-net,1188,test
0.045,unsat,0,3522.980381965637,mnist-net,1188,test
0.265,sat,0,2.201683759689331,mnist-net,1191,test
0.133,sat,0,3.137721300125122,mnist-net,1191,test
0.131,sat,0,3.0504958629608154,mnist-net,1191,test
0.063,sat,0,196.56580233573916,mnist-net,1191,test
0.065,cancelled,0,204.43823981285092,mnist-net,1191,test
0.021,unsat,0,18.121721982955933,mnist-net,1191,test
0.041,unsat,0,3396.3157353401184,mnist-net,1191,test
0.043,unsat,0,3516.139052629471,mnist-net,1191,test
0.053,sat,0,778.9835107326508,mnist-net,1191,test
0.051,sat,0,3309.156293153763,mnist-net,1191,test
0.047,timeout,0,3600.0,mnist-net,1191,test
0.045,unsat,0,3343.047199249268,mnist-net,1191,test
0.049,unsat,0,3592.82102894783,mnist-net,1191,test
0.133,sat,0,3.5385189056396484,mnist-net,1195,test
0.265,sat,0,3.518550157546997,mnist-net,1195,test
0.265,cancelled,0,6.274351596832275,mnist-net,1195,test
0.087,sat,0,3.4821677207946777,mnist-net,1195,test
0.043,sat,0,22.044886827468872,mnist-net,1195,test
0.019,unsat,0,1.6964969635009766,mnist-net,1195,test
0.029,unsat,0,1.7686777114868164,mnist-net,1195,test
0.041,sat,0,78.15340399742126,mnist-net,1195,test
0.035,unsat,0,53.25732588768005,mnist-net,1195,test
0.033,cancelled,0,3.637797355651856,mnist-net,1195,test
0.037,unsat,0,188.6147096157074,mnist-net,1195,test
0.039,unsat,0,608.9515011310577,mnist-net,1195,test
0.265,sat,0,3.4664156436920166,mnist-net,1197,test
0.133,sat,0,3.525965690612793,mnist-net,1197,test
0.065,sat,0,3.483154773712158,mnist-net,1197,test
0.131,cancelled,0,5.833004713058472,mnist-net,1197,test
0.131,sat,0,3.4876482486724854,mnist-net,1197,test
0.021,unsat,0,1.7400727272033691,mnist-net,1197,test
0.041,unsat,0,3507.1378922462463,mnist-net,1197,test
