epsilon,result,runtime
0.265,sat,3.9325389862060547
0.133,sat,4.2838780879974365
0.131,sat,4.340846300125122
0.065,sat,4.361358165740967
0.063,sat,4.34309720993042
0.031,sat,4.352013826370239
0.029,sat,3.875272750854492
0.013000000000000001,unsat,3.79211163520813
0.021,unsat,3.7306361198425293
0.015,cancelled,6.705504655838013
0.015,unsat,3.8187313079833984
0.025,unsat,3.6958165168762207
0.023,cancelled,6.412616014480591
0.023,unsat,3.709425210952759
0.027000000000000003,unsat,5.022833824157715
