epsilon,result,runtime
0.265,sat,19.481504440307617
0.133,sat,19.520089864730835
0.131,sat,23.739583253860474
0.065,timeout,3600
0.063,timeout,3600
0.067,unsat,3158.977802991867
0.061,cancelled,3146.0812005996704
0.109,sat,25.116514921188354
0.08700000000000001,sat,503.8502519130707
0.089,cancelled,554.8943271636963
0.07300000000000001,unsat,3470.6421694755554
0.079,timeout,3600
0.081,timeout,3600
0.077,timeout,3600
0.075,unsat,3118.6694045066833
0.083,unsat,3538.37171459198
0.085,sat,1351.265145778656
