image,Epsilon,runtime
1,0.141,10798.929642915726
21,0.155,7746.578425884247
34,0.127,33626.2389087677
37,0.161,17904.060678720474
51,0.153,13703.077463150024
56,0.143,13948.548028945923
63,0.055,21948.25004529953
68,0.057,27718.15495276451
69,0.107,14588.33125281334
75,0.097,28351.260952472687
81,0.123,34117.75721979141
88,0.119,20941.489498138428
95,0.149,18454.433668136597
108,0.095,26749.459728240967
114,0.057,37018.554129600525
118,0.111,18800.924204826355
119,0.183,20271.80358982086
121,0.177,24248.62328004837
156,0.095,22696.67023897171
169,0.123,13287.178667068481
192,0.175,10337.869698286057
206,0.141,7062.233137130737
209,0.175,6430.142785549164
210,0.071,6942.097363471985
216,0.071,7080.2336966991425
229,0.121,16123.863944768906
232,0.067,7919.140973329544
234,0.099,9675.270699739456
246,0.031,6958.39914393425
249,0.131,3355.757452249527
260,0.067,6675.383884191513
283,0.195,17174.982778787613
293,0.173,13620.327564239502
296,0.179,12619.773676156998
303,0.181,9947.747105121613
320,0.105,13741.25432896614
326,0.143,8449.382918596268
359,0.149,7198.528039693832
399,0.167,10303.421460390091
427,0.203,13207.445138692856
429,0.213,12797.720482587814
435,0.129,14282.193058490753
440,0.035,6641.169370889664
451,0.127,20137.91642665863
453,0.115,20497.4904460907
458,0.169,11030.259241342545
462,0.175,12772.80404138565
464,0.149,6977.585822582245
473,0.131,2993.346441745758
489,0.079,25187.21274614334
519,0.187,14535.140550136566
524,0.085,6387.08701133728
526,0.167,7709.095450401306
527,0.119,13272.337020874023
542,0.119,13765.514017343521
577,0.175,6697.727966070175
582,0.079,18635.312848091125
596,0.133,3982.5991513729095
603,0.163,14074.947346448898
612,0.155,10204.363443851471
633,0.115,7878.292817831039
639,0.161,14444.380754470825
656,0.175,6466.8948566913605
662,0.083,14016.47239112854
666,0.131,7439.26674580574
667,0.129,16986.76603102684
668,0.123,13342.134629011154
669,0.145,11215.740192890167
689,0.121,11005.78618979454
702,0.131,3517.336348056793
709,0.071,10757.327083826065
712,0.105,10000.783794403076
733,0.149,9977.98467373848
743,0.125,16797.268032073975
745,0.131,3730.5811038017273
776,0.157,13390.678013324738
781,0.155,12850.92624425888
787,0.079,13093.88746547699
790,0.087,6958.557545900345
818,0.129,17217.777851104736
825,0.123,15588.581489086151
849,0.125,15659.235544204712
859,0.129,17183.499521255493
860,0.175,13419.388276815414
869,0.121,20452.887755393982
872,0.137,8761.86228966713
889,0.113,13898.312467575073
903,0.097,6739.006580114365
927,0.137,6904.515562295914
943,0.111,10522.58490729332
949,0.145,10138.358984947205
952,0.125,14192.456706047058
957,0.111,14838.758448123932
965,0.087,6467.395300626755
979,0.135,8012.241752624512
984,0.083,13215.256740570068
997,0.131,3366.8161861896515
1000,0.097,19001.367072820663
1015,0.031,3527.6294848918915
1018,0.163,19372.245675086975
