image,Epsilon,runtime
17,0.095,12981.895234584808
31,0.151,13386.814193248749
41,0.107,15998.469619512558
46,0.089,9879.286790847778
55,0.087,9558.47408246994
85,0.085,16725.90920639038
94,0.111,13424.036042451859
97,0.103,7115.00547170639
125,0.033,6789.180994987488
137,0.055,9853.934181690216
144,0.119,10485.760925531387
146,0.089,6509.350009679794
160,0.055,9199.287513017654
188,0.109,13314.911452770233
197,0.147,7414.0422875881195
202,0.007,3650.211377620697
225,0.063,16209.894004583359
240,0.059,11505.470803499222
245,0.157,9138.512659072876
265,0.131,3369.994461297989
295,0.087,5913.033593654633
300,0.071,10361.023110628128
312,0.101,9738.120999097824
333,0.131,3481.557204246521
343,0.103,6270.090341091156
348,0.111,10452.080475568771
352,0.079,13300.782224655151
368,0.093,13316.583467721939
386,0.063,2697.349585056305
393,0.129,13811.744798660278
404,0.087,9727.540598869324
415,0.061,9511.336952924728
418,,24.016414642333984
439,0.133,3490.509353160858
445,0.147,7046.144446134567
456,0.079,9792.027023077011
469,0.121,12860.068815946579
485,0.119,12763.491692781448
499,0.165,12018.693843603134
503,0.029,3574.650857925415
517,0.071,9075.168530702591
528,0.037,9990.763245105743
532,0.081,6422.622722864151
539,0.119,12540.015603542328
545,0.107,9977.76958322525
559,0.019,765.4808232784271
571,0.157,13289.42119383812
575,0.113,19346.39217686653
594,0.091,11275.444495916367
602,0.057,9045.21123099327
615,0.117,18567.36674761772
627,0.093,11698.395035266876
628,0.051,9033.809171676636
685,0.105,13113.572871923447
694,0.073,9714.5305185318
705,0.129,17523.60895562172
708,0.061,12653.288307189941
720,0.031,5084.608994483948
725,0.127,16155.20950126648
726,0.049,7367.413435220718
734,0.103,9763.038480997086
736,0.083,9687.368114948273
740,0.017,180.2753472328186
756,0.103,9966.872357606888
758,0.117,9574.068208932877
761,0.151,9954.35056066513
766,0.153,5604.412707090378
769,0.141,6197.201318740845
777,0.145,6973.378022432327
784,0.069,12020.603289365768
791,0.179,12196.433705568314
792,0.047,5660.924648284912
796,0.109,17258.271686792374
817,0.073,8036.314924478531
823,0.143,6920.413374662399
831,0.201,15889.391607046127
858,0.059,9560.14517045021
865,0.141,10068.970445632935
876,0.051,9472.361161708832
885,0.147,6811.93513917923
913,0.151,17027.67590403557
923,0.179,12515.731805562973
925,0.191,16791.35151743889
935,0.043,3274.2926263809204
963,0.125,14166.665806531906
972,0.169,9345.511734008789
976,0.143,12201.174703121185
1009,0.105,12748.704142570496
1013,0.073,5919.925948143005
1016,0.071,9999.611435890198
1025,0.085,6003.30743932724
1026,0.075,9718.080143213272
1045,0.095,9302.12411236763
1059,0.109,9730.654659748077
1063,0.061,10052.10883975029
1064,0.081,9515.839051961899
1067,0.121,12834.836400032043
1086,0.063,9308.487208604813
1101,0.093,12763.535998106003
1105,0.131,2926.3143079280853
