epsilon,result,runtime
0.265,error,1.5217256546020508
0.133,error,1.5276813507080078
0.201,error,1.5621628761291504
0.199,error,1.5726206302642822
0.203,error,1.546133041381836
0.197,error,1.556227684020996
0.20500000000000002,error,1.5058763027191162
0.195,error,1.5243892669677734
0.20700000000000002,error,1.5101399421691895
0.193,error,1.5445432662963867
0.20900000000000002,error,1.5059876441955566
0.191,error,1.5293679237365723
0.211,error,1.4963722229003906
0.189,error,1.510000467300415
0.213,error,1.502197027206421
0.187,error,1.5143556594848633
0.215,error,1.4711151123046875
0.185,error,1.4873054027557373
0.183,error,1.4743573665618896
0.217,error,1.4948749542236328
0.219,error,1.4768152236938477
0.181,error,1.512866497039795
0.221,error,1.470468521118164
0.179,error,1.5004701614379883
0.177,error,1.4602606296539307
0.223,error,1.4728543758392334
0.225,error,1.5012130737304688
0.17500000000000002,error,1.5548627376556396
0.17300000000000001,error,1.5127837657928467
0.227,error,1.509434700012207
0.229,error,1.4899754524230957
0.171,error,1.5184214115142822
0.231,error,1.5052945613861084
0.169,error,1.5325024127960205
0.167,error,1.493119239807129
0.233,error,1.483997106552124
0.165,error,1.5465795993804932
0.23500000000000001,error,1.5444695949554443
0.163,error,1.5073370933532715
0.23700000000000002,error,1.5085046291351318
0.23900000000000002,error,1.4786410331726074
0.161,error,1.4872651100158691
0.241,error,1.5362248420715332
0.159,error,1.5525264739990234
0.157,error,1.5103411674499512
0.243,error,1.5196819305419922
0.155,error,1.4998490810394287
0.245,error,1.4987261295318604
0.247,error,1.4857664108276367
0.153,error,1.5589962005615234
0.249,error,1.4182658195495605
0.151,error,1.4913475513458252
0.251,error,1.5310072898864746
0.149,error,1.560523509979248
0.147,error,1.4963722229003906
0.253,error,1.5076894760131836
0.14500000000000002,error,1.5306384563446045
0.255,error,1.5075623989105225
0.14300000000000002,error,1.4549455642700195
0.257,error,1.499680757522583
0.14100000000000001,error,1.5163555145263672
0.259,error,1.4934072494506836
0.261,error,1.4545412063598633
0.139,error,1.486626386642456
0.137,error,1.5171773433685303
0.263,error,1.5158028602600098
0.267,error,1.468691349029541
0.135,error,1.496769905090332
0.131,error,1.4991388320922852
0.269,error,1.5078997611999512
0.129,error,1.5728273391723633
0.271,error,1.566955804824829
0.273,error,1.514129400253296
0.127,error,1.5444774627685547
0.125,error,1.4176654815673828
0.275,error,1.4787349700927734
0.123,error,1.5009846687316895
0.277,error,1.4795267581939697
0.121,error,1.524489164352417
0.279,error,1.476850986480713
0.11900000000000001,error,1.493403673171997
0.281,error,1.523784875869751
0.117,error,1.5143208503723145
0.28300000000000003,error,1.483208179473877
0.115,error,1.527085542678833
0.28500000000000003,error,1.533219575881958
0.113,error,1.503760814666748
0.28700000000000003,error,1.4997384548187256
0.111,error,1.475142002105713
0.28900000000000003,error,1.4918975830078125
0.109,error,1.4666733741760254
0.291,error,1.485602617263794
0.293,error,1.5057604312896729
0.107,error,1.5547280311584473
0.295,error,1.495600700378418
0.10500000000000001,error,1.5382368564605713
0.10300000000000001,error,1.4955251216888428
0.297,error,1.5481877326965332
0.101,error,1.5154273509979248
0.299,error,1.4794628620147705
0.099,error,1.4745845794677734
0.301,error,1.4787771701812744
0.097,error,1.468315601348877
0.303,error,1.4649982452392578
0.095,error,1.485901117324829
0.305,error,1.465512990951538
0.307,error,2.6843550205230713
0.093,error,2.745795726776123
0.309,error,1.9974932670593262
0.091,error,2.043518304824829
0.089,error,1.7626667022705078
0.311,error,1.751220703125
0.08700000000000001,error,2.74898624420166
0.313,error,2.7632572650909424
0.085,error,1.921415090560913
0.315,error,1.906625509262085
0.083,error,2.632598876953125
0.317,error,2.641044855117798
0.319,error,1.505516767501831
0.081,error,1.5237443447113037
0.079,error,1.4964885711669922
0.321,error,1.499934196472168
0.077,error,1.531966209411621
0.323,error,1.5241632461547852
0.325,error,1.490973711013794
0.075,error,1.5375983715057373
0.07300000000000001,error,1.5348691940307617
0.327,error,1.4975993633270264
0.07100000000000001,error,1.499171257019043
0.329,error,1.5103178024291992
0.069,error,1.5129950046539307
0.331,error,1.5000946521759033
0.333,error,1.4539730548858643
0.067,error,1.4633512496948242
0.065,error,1.5401840209960938
0.335,error,1.5609424114227295
0.063,error,1.5057241916656494
0.337,error,1.4995737075805664
0.061,error,1.491661548614502
0.339,error,1.4733765125274658
0.059000000000000004,error,1.496922254562378
0.341,error,1.50895094871521
0.057,error,1.4708707332611084
0.343,error,1.4781949520111084
0.34500000000000003,error,1.5074224472045898
0.055,error,1.5396034717559814
0.053000000000000005,error,1.4898052215576172
0.34700000000000003,error,1.4796202182769775
0.34900000000000003,error,1.453481912612915
0.051000000000000004,error,1.4792811870574951
0.35100000000000003,error,1.4356663227081299
0.049,error,1.462510585784912
0.353,error,1.5262064933776855
0.047,error,1.5368380546569824
0.045,error,1.5396928787231445
0.355,error,1.5388789176940918
0.357,error,1.4650018215179443
0.043000000000000003,error,1.4725689888000488
0.041,error,1.4384868144989014
0.359,error,1.4478847980499268
0.361,error,1.4780426025390625
0.039,error,1.5178487300872803
0.363,error,1.4724760055541992
0.037000000000000005,error,1.518582820892334
0.365,error,1.5184884071350098
0.035,error,1.5379202365875244
0.367,error,1.4675054550170898
0.033,error,1.4937500953674316
0.031,error,1.4943175315856934
0.369,error,1.485011339187622
0.029,error,1.4699127674102783
0.371,error,1.480252981185913
0.027000000000000003,error,1.550523042678833
0.373,error,1.5399181842803955
0.375,error,1.4963252544403076
0.025,error,1.5253565311431885
0.377,error,1.422978162765503
0.023,error,1.498070240020752
0.021,error,1.5024168491363525
0.379,error,1.5308759212493896
0.019000000000000003,error,1.5613970756530762
0.381,error,1.4843127727508545
0.017,error,1.4890365600585938
0.383,error,1.5060536861419678
0.015,error,1.570770263671875
0.385,error,1.544924259185791
0.013000000000000001,error,1.5120489597320557
0.387,error,1.5179994106292725
0.011,error,1.5384602546691895
0.389,error,1.5336682796478271
0.391,error,1.485252857208252
0.009000000000000001,error,1.4971013069152832
0.007,error,1.477912425994873
0.393,error,1.478224754333496
0.005,error,1.5035953521728516
0.395,error,1.5091893672943115
0.003,error,1.5491340160369873
0.397,error,1.558884859085083
0.001,error,1.4506161212921143
0.399,error,1.457230806350708
