epsilon,result,runtime
0.133,error,1.5342724323272705
0.265,error,1.5506033897399902
0.199,error,1.4469881057739258
0.201,error,1.4715566635131836
0.197,error,1.4349029064178467
0.203,error,1.498483657836914
0.195,error,1.542755365371704
0.20500000000000002,error,1.4454920291900635
0.193,error,1.509854793548584
0.20700000000000002,error,1.507779836654663
0.191,error,1.4469122886657715
0.20900000000000002,error,1.507784366607666
0.211,error,1.4773364067077637
0.189,error,1.5507888793945312
0.213,error,1.4670512676239014
0.187,error,1.4816124439239502
0.185,error,1.4914498329162598
0.215,error,1.515343189239502
0.183,error,1.508636236190796
0.217,error,1.5199761390686035
0.181,error,1.5064659118652344
0.219,error,1.4725534915924072
0.221,error,1.522585391998291
0.179,error,1.5389764308929443
0.223,error,1.502441167831421
0.177,error,1.514244556427002
0.17500000000000002,error,1.4971094131469727
0.225,error,1.5001344680786133
0.17300000000000001,error,1.5396032333374023
0.227,error,1.5395612716674805
0.171,error,1.4706475734710693
0.229,error,1.477231502532959
0.231,error,1.4986884593963623
0.169,error,1.5409832000732422
0.233,error,1.4648442268371582
0.167,error,1.510502815246582
0.23500000000000001,error,1.5456600189208984
0.165,error,1.5652964115142822
0.163,error,1.515829086303711
0.23700000000000002,error,1.5438625812530518
0.161,error,1.5365924835205078
0.23900000000000002,error,1.5149290561676025
0.159,error,1.5333776473999023
0.241,error,1.5315485000610352
0.243,error,1.4933674335479736
0.157,error,1.545729160308838
0.155,error,1.4663286209106445
0.245,error,1.4752776622772217
0.153,error,1.574317216873169
0.247,error,1.5429322719573975
0.249,error,1.5094754695892334
0.151,error,1.5438637733459473
0.251,error,1.5271062850952148
0.149,error,1.5437195301055908
0.147,error,1.4698307514190674
0.253,error,1.5006933212280273
0.255,error,1.480104684829712
0.14500000000000002,error,1.5282275676727295
0.14300000000000002,error,1.466064453125
0.257,error,1.4882256984710693
0.259,error,1.434783697128296
0.14100000000000001,error,1.5270380973815918
0.139,error,1.516345500946045
0.261,error,1.4800105094909668
0.137,error,1.5401062965393066
0.263,error,1.55739164352417
0.135,error,1.5418195724487305
0.267,error,1.5369365215301514
0.131,error,1.513855218887329
0.269,error,1.5016262531280518
0.129,error,1.4790024757385254
0.271,error,1.4990360736846924
0.127,error,1.5323240756988525
