image,Epsilon,runtime
7,0.175,17534.634999513626
10,0.141,10659.437953472137
12,0.205,20342.699402093887
27,0.237,15048.745658636093
30,0.031,9054.791984796524
44,0.101,12331.964809417725
49,0.119,24061.97576570511
50,0.123,18212.860630750656
74,0.113,21012.484396457672
86,0.067,12759.411029100418
98,0.119,22297.802797317505
107,0.189,16411.902683019638
111,0.141,15402.883452653885
130,0.159,20044.709142923355
135,0.191,21810.123389482498
136,0.137,13145.982969284058
149,0.175,21756.36296391487
157,0.193,23877.52396082878
179,0.149,13247.013004541397
181,0.133,4865.338220834732
198,0.131,3573.005660533905
203,0.165,11358.864953279495
207,0.077,15958.853174686432
215,0.193,21686.164187669754
228,0.021,3539.324579000473
235,0.197,14868.561736822128
242,0.175,6464.244143247604
250,0.103,17883.76847267151
254,0.075,27612.31863975525
255,0.161,14007.583832025528
279,0.163,32423.8798828125
281,0.193,19405.723206281662
291,0.131,12676.039179563522
298,0.151,11226.13710808754
321,0.175,28489.652520895004
327,0.131,14711.757029294968
330,0.165,12180.330837488174
341,0.205,56452.97353672981
356,0.091,10321.774590492249
361,0.169,26165.516471624374
392,0.141,14555.772069215775
405,0.181,27104.062289714813
425,0.097,18959.44365620613
433,0.163,13962.408219099045
452,0.109,13772.710681438446
459,0.065,20967.24013209343
479,0.125,31065.758496761322
486,0.125,24853.141807079315
490,0.161,20999.14399790764
495,0.141,14078.470205783844
509,0.045,11903.691457271576
540,0.047,15764.616004943848
546,0.131,9063.6023812294
549,0.133,25597.83114862442
557,0.149,32120.354978084564
561,0.101,40067.21263766289
574,0.097,13595.17067694664
581,0.113,15756.256566762924
613,0.125,20265.1622235775
629,0.133,5069.396973133087
643,0.137,9643.567573308945
645,0.163,10541.61739397049
659,0.055,17420.33168077469
675,0.151,11087.849152803421
695,0.163,20506.48849105835
715,0.153,11143.446190595627
731,0.131,4879.902499437332
752,0.153,12979.228930234909
760,0.047,10822.234657526016
767,0.117,18608.354533195496
789,0.093,28825.869904994965
808,0.031,4615.751673936844
811,0.113,10611.928382873535
840,0.173,19522.138182401657
843,0.063,3476.251719713211
856,0.101,13438.336674690247
857,0.109,20906.79461121559
861,0.069,20355.078559160233
867,0.117,9758.459073543549
874,0.175,15871.317970991135
875,0.135,8318.918318033218
878,0.083,42689.97850012779
890,0.105,30758.38173341751
895,0.105,19296.42440676689
909,0.157,14161.899737596512
953,0.135,9383.494748353958
966,0.037,20951.677199602127
975,0.179,10411.128952503204
983,0.165,9400.465025424957
992,0.189,15526.048589468002
998,0.083,13539.664957523346
1007,0.077,15375.776593208313
1021,0.031,3717.2962288856506
1035,0.069,17608.176465034485
1055,0.017,10451.524124622345
1068,0.149,12272.34885764122
1077,0.059,13968.194434165955
1097,0.023,7111.080559492111
