epsilon,result,runtime
0.265,sat,14.528755903244019
0.133,sat,27.189730405807495
0.131,sat,21.560986042022705
0.065,timeout,3600
0.063,timeout,3600
0.067,timeout,3600
0.061,timeout,3600
0.069,timeout,3600
0.059000000000000004,timeout,3600
0.07100000000000001,timeout,3600
0.057,timeout,3600
0.07300000000000001,unsat,3435.6337234973907
0.055,cancelled,3436.4396109580994
0.111,sat,37.7653706073761
0.093,sat,170.74489545822144
0.091,sat,207.99457716941833
0.081,sat,2571.8106341362
0.083,cancelled,2493.118540287018
0.075,unsat,3336.8659682273865
0.077,timeout,3600
0.079,timeout,3600
