epsilon,result,runtime
0.265,sat,22.242727279663086
0.133,sat,22.17157220840454
0.131,sat,27.645723581314087
0.065,sat,731.1955869197845
0.063,timeout,3600
0.031,timeout,3600
0.029,timeout,3600
0.033,unsat,3309.219952583313
0.027000000000000003,cancelled,440.30024933815
0.043000000000000003,unsat,3401.6993930339813
0.051000000000000004,timeout,3600
0.053000000000000005,timeout,3600
0.055,timeout,3600
0.049,timeout,3600
0.057,timeout,3600
0.047,timeout,3600
0.059000000000000004,timeout,3600
0.061,unsat,3348.7723639011383
0.045,cancelled,3562.7355449199677
