,network,metric_1,metric_2,metric_3,metric_4,run
0,mnist-net,1,0.1768292784690857,0.0017153127118945122,0.012433797121047974,0
1,mnist-net,1,0.18014706671237946,0.0018197409808635712,0.01243676245212555,1
2,mnist-net,1,0.17818182706832886,0.0016737813130021095,0.012433797121047974,2
3,mnist-net,1,0.16891063749790192,0.0017512571066617966,0.01251199934631586,3
4,mnist-net,1,0.17034314572811127,0.0018567144870758057,0.012508290819823742,4
5,mnist-net,1,0.1783980429172516,0.00181635282933712,0.012434161268174648,5
6,mnist-net,1,0.1711491346359253,0.0017613284289836884,0.01251199934631586,6
7,mnist-net,1,0.17156864702701569,0.0018767304718494415,0.012421985156834126,7
8,mnist-net,1,0.16992664337158203,0.001759260892868042,0.01251236442476511,8
9,mnist-net,1,0.1794871836900711,0.001812218688428402,0.012433797121047974,9
10,mnist-net_256x2,1,0.18092909455299377,0.0016314592212438583,0.009161412715911865,0
11,mnist-net_256x2,1,0.183622807264328,0.0016717500984668732,0.009232431650161743,1
12,mnist-net_256x2,1,0.18703241646289825,0.0015528686344623566,0.00916511844843626,2
13,mnist-net_256x2,1,0.1836228221654892,0.0017090346664190292,0.009232431650161743,3
14,mnist-net_256x2,1,0.1836228221654892,0.0016490630805492401,0.009161412715911865,4
15,mnist-net_256x2,1,0.18092909455299377,0.0015163738280534744,0.00917238462716341,5
16,mnist-net_256x2,1,0.18703241646289825,0.0017829257994890213,0.009094071574509144,6
17,mnist-net_256x2,1,0.1818181872367859,0.0017064530402421951,0.009232431650161743,7
18,mnist-net_256x2,1,0.18918921053409576,0.001671280711889267,0.00916511844843626,8
19,mnist-net_256x2,1,0.1876543015241623,0.0015812031924724579,0.009161412715911865,9
20,mnist-net_256x4,1,0.08430913090705872,0.004626104608178139,0.02125944197177887,0
21,mnist-net_256x4,1,0.08470586687326431,0.004802195355296135,0.021435070782899857,1
22,mnist-net_256x4,1,0.08685444295406342,0.004451846703886986,0.02125944197177887,2
23,mnist-net_256x4,1,0.08685444295406342,0.004279389977455139,0.021435070782899857,3
24,mnist-net_256x4,1,0.079812191426754,0.004439467564225197,0.021250195801258087,4
25,mnist-net_256x4,1,0.07728336751461029,0.005141606554389,0.021254142746329308,5
26,mnist-net_256x4,1,0.07943925261497498,0.004522809758782387,0.02126566506922245,6
27,mnist-net_256x4,1,0.07710280269384384,0.004270536825060844,0.021254142746329308,7
28,mnist-net_256x4,1,0.08624709397554398,0.004451846703886986,0.021433699876070023,8
29,mnist-net_256x4,1,0.08430913090705872,0.004627926275134087,0.021260801702737808,9
30,mnist-net_256x6,0,0.0,0.004771007224917412,0.006345320492982864,0
31,mnist-net_256x6,0,0.0,0.0048555415123701096,0.006342153996229172,1
32,mnist-net_256x6,0,0.0,0.004771897569298744,0.006345534697175026,2
33,mnist-net_256x6,0,0.0,0.004708440974354744,0.006218625232577324,3
34,mnist-net_256x6,0,0.0,0.004758916795253754,0.006256826221942902,4
35,mnist-net_256x6,0,0.0,0.004888642579317093,0.0063431356102228165,5
36,mnist-net_256x6,0,0.0,0.004891159012913704,0.006343729794025421,6
37,mnist-net_256x6,0,0.0,0.004828788340091705,0.006257612258195877,7
38,mnist-net_256x6,0,0.0,0.0048353541642427444,0.006218623369932175,8
39,mnist-net_256x6,0,0.0,0.0048864129930734634,0.006260152906179428,9
40,mnist_nn,0,0.0,0.006218441296368837,0.006754011381417513,0
41,mnist_nn,0,0.0,0.006184575613588095,0.006805931217968464,1
42,mnist_nn,0,0.0,0.006253258790820837,0.006853205151855946,2
43,mnist_nn,0,0.0,0.006136251147836447,0.006849282421171665,3
44,mnist_nn,0,0.0,0.006189975421875715,0.006783521268516779,4
45,mnist_nn,0,0.0,0.006189975421875715,0.006783521268516779,5
46,mnist_nn,0,0.0,0.006225171964615583,0.006740857847034931,6
47,mnist_nn,0,0.0,0.006168998312205076,0.006797031499445438,7
48,mnist_nn,0,0.0,0.0062102400697767735,0.006740856915712357,8
49,mnist_nn,0,0.0,0.00621524965390563,0.0067810541950166225,9
50,mnist_relu_3_100,1,0.15896490216255188,0.0012348461896181107,0.020616300404071808,0
51,mnist_relu_3_100,1,0.16022101044654846,0.0011242609471082687,0.02047411911189556,1
52,mnist_relu_3_100,1,0.17387305200099945,0.001101374626159668,0.02061566710472107,2
53,mnist_relu_3_100,1,0.16203704476356506,0.0011346545070409775,0.020625237375497818,3
54,mnist_relu_3_100,1,0.16111111640930176,0.0011796895414590836,0.02062159776687622,4
55,mnist_relu_3_100,1,0.17447197437286377,0.0012475065886974335,0.020473498851060867,5
56,mnist_relu_3_100,1,0.17423540353775024,0.0012080054730176926,0.02061566710472107,6
57,mnist_relu_3_100,1,0.16266176104545593,0.001363491639494896,0.020616305992007256,7
58,mnist_relu_3_100,1,0.15877437591552734,0.0012416169047355652,0.02047411911189556,8
59,mnist_relu_3_100,1,0.17282812297344208,0.0013106893748044968,0.02061566710472107,9
60,mnist_relu_3_50,1,0.0,0.007338525727391243,0.014017434790730476,0
61,mnist_relu_3_50,1,0.003703703638166189,0.007417922839522362,0.014109650626778603,1
62,mnist_relu_3_50,1,0.0036231884732842445,0.007392521947622299,0.01413622684776783,2
63,mnist_relu_3_50,1,0.0036630036775022745,0.007392523810267448,0.01413622684776783,3
64,mnist_relu_3_50,1,0.0036496350076049566,0.007358139380812645,0.014109650626778603,4
65,mnist_relu_3_50,1,0.003703703638166189,0.0074777137488126755,0.014109650626778603,5
66,mnist_relu_3_50,1,0.0,0.007392523810267448,0.014017434790730476,6
67,mnist_relu_3_50,1,0.0036630036775022745,0.007137969136238098,0.01413622684776783,7
68,mnist_relu_3_50,1,0.0,0.007328176870942116,0.014017434790730476,8
69,mnist_relu_3_50,1,0.0,0.007338525727391243,0.014017434790730476,9
70,mnist_relu_4_1024,0,0.0,0.01645081490278244,0.020429441705346107,0
71,mnist_relu_4_1024,0,0.0,0.016367468982934952,0.020432032644748688,1
72,mnist_relu_4_1024,0,0.0,0.016444209963083267,0.020430760458111763,2
73,mnist_relu_4_1024,0,0.0,0.016524948179721832,0.02042880840599537,3
74,mnist_relu_4_1024,0,0.0,0.01645023375749588,0.020430760458111763,4
75,mnist_relu_4_1024,0,0.0,0.016348782926797867,0.02043139934539795,5
76,mnist_relu_4_1024,0,0.0,0.01644899696111679,0.02042943798005581,6
77,mnist_relu_4_1024,0,0.0,0.016454316675662994,0.020436329767107964,7
78,mnist_relu_4_1024,0,0.0,0.01635262742638588,0.02042943798005581,8
79,mnist_relu_4_1024,0,0.0,0.01635262742638588,0.02042943798005581,9
80,mnist_relu_6_100,0,0.0,0.01686950773000717,0.02252870239317417,0
81,mnist_relu_6_100,0,0.0,0.017024513334035873,0.022517817094922066,1
82,mnist_relu_6_100,0,0.0,0.01713480055332184,0.022547222673892975,2
