epsilon,result,runtime
0.133,error,3.445636034011841
0.265,error,3.4482524394989014
0.201,error,3.513680934906006
0.199,error,3.515194892883301
0.197,error,3.5471532344818115
0.203,error,3.5474891662597656
0.195,error,2.468247175216675
0.20500000000000002,error,2.4877843856811523
0.193,error,2.486534357070923
0.20700000000000002,error,2.476285219192505
0.191,error,2.3951175212860107
0.20900000000000002,error,2.5460386276245117
0.189,error,2.9719045162200928
0.211,error,2.8397598266601562
0.187,error,2.7700045108795166
0.213,error,2.755772590637207
0.215,error,3.219545841217041
0.185,error,3.2417373657226562
0.217,error,4.15603232383728
0.183,error,4.178788423538208
0.219,error,2.910764694213867
0.181,error,2.9223885536193848
0.179,error,2.7256128787994385
0.221,error,2.7363767623901367
0.223,error,2.23226261138916
0.177,error,2.42435359954834
0.225,error,2.3233301639556885
0.17500000000000002,error,2.508557081222534
0.227,error,2.5419814586639404
0.17300000000000001,error,2.9619410037994385
0.171,error,2.3170487880706787
0.229,error,2.3126790523529053
0.231,error,1.780224084854126
0.169,error,1.7947463989257812
0.233,error,1.606109619140625
0.167,error,1.8095386028289795
0.165,error,1.92626953125
0.23500000000000001,error,1.7336061000823975
0.23700000000000002,error,2.734877347946167
0.163,error,2.763444185256958
0.161,error,5.050665378570557
0.23900000000000002,error,5.026238918304443
0.241,error,3.1792566776275635
0.159,error,3.1812639236450195
0.243,error,5.2362329959869385
0.157,error,5.245886325836182
0.155,error,3.920544385910034
0.245,error,4.0444395542144775
0.153,error,2.8350703716278076
0.247,error,3.32442569732666
0.151,error,2.533479690551758
0.249,error,2.214826822280884
0.149,error,2.3306007385253906
0.251,error,2.3581795692443848
0.147,error,2.7253808975219727
0.253,error,2.9259583950042725
0.14500000000000002,error,2.768742084503174
0.255,error,2.972743034362793
0.14300000000000002,error,4.132160425186157
0.257,error,3.551600456237793
0.14100000000000001,error,4.210277080535889
0.259,error,4.619670391082764
0.139,error,4.328803539276123
0.261,error,3.7577712535858154
0.137,error,2.9401466846466064
0.263,error,2.939263343811035
0.267,error,2.905675172805786
0.135,error,2.985347032546997
0.131,error,2.994946002960205
0.269,error,3.389044761657715
0.271,error,2.899684429168701
0.129,error,3.367648124694824
0.127,error,2.906646251678467
0.273,error,2.9153270721435547
0.275,error,3.1151421070098877
0.125,error,3.1264188289642334
0.123,error,3.6834876537323
0.277,error,3.718876600265503
0.279,error,4.73752760887146
0.121,error,4.778419256210327
0.281,error,4.383483171463013
0.11900000000000001,error,4.3884217739105225
0.117,error,3.606076717376709
0.28300000000000003,error,3.667558193206787
0.115,error,3.485353469848633
0.28500000000000003,error,3.4409215450286865
0.113,error,3.3433520793914795
0.28700000000000003,error,3.331327199935913
0.111,error,3.901827096939087
0.28900000000000003,error,3.893193244934082
0.109,error,4.114179611206055
0.291,error,4.1212756633758545
0.107,error,3.450434684753418
0.293,error,3.4553987979888916
0.295,error,2.6289148330688477
0.10500000000000001,error,2.6647050380706787
0.10300000000000001,error,2.5475122928619385
0.297,error,2.5251731872558594
0.299,error,2.6299540996551514
0.101,error,2.6545863151550293
0.099,error,2.6812045574188232
0.301,error,2.6713273525238037
0.303,error,1.9175353050231934
0.097,error,1.927628755569458
0.095,error,2.1797633171081543
0.305,error,2.2754032611846924
0.307,error,1.8881442546844482
0.093,error,2.0114645957946777
0.091,error,1.8636343479156494
0.309,error,1.8593153953552246
0.311,error,2.0549142360687256
0.089,error,2.06961989402771
0.08700000000000001,error,2.3717522621154785
0.313,error,2.3941099643707275
0.315,error,5.1986706256866455
0.085,error,5.250613212585449
0.317,error,4.781954526901245
0.083,error,4.814787149429321
0.081,error,3.6619036197662354
0.319,error,4.169926404953003
0.321,error,2.982363700866699
0.079,error,3.5160412788391113
0.077,error,2.724085569381714
0.323,error,2.8650381565093994
0.325,error,2.922963857650757
0.075,error,3.0860729217529297
0.07300000000000001,error,2.7173080444335938
0.327,error,2.7268552780151367
0.329,error,2.389376163482666
0.07100000000000001,error,2.4403464794158936
0.069,error,2.8094842433929443
0.331,error,2.7693939208984375
0.067,error,3.8313210010528564
0.333,error,3.8219902515411377
0.335,error,3.9051759243011475
0.065,error,3.912088632583618
0.063,error,2.9490582942962646
0.337,error,2.9486541748046875
0.339,error,3.1186604499816895
0.061,error,3.2686760425567627
0.341,error,2.261056423187256
0.059000000000000004,error,2.424309015274048
0.343,error,3.0292675495147705
0.057,error,3.050497055053711
0.34500000000000003,error,2.715142011642456
0.055,error,2.722381114959717
0.053000000000000005,error,2.9586586952209473
0.34700000000000003,error,2.9632039070129395
0.34900000000000003,error,2.8481972217559814
0.051000000000000004,error,2.855071783065796
0.049,error,3.13692045211792
0.35100000000000003,error,3.1348557472229004
0.047,error,3.3136558532714844
0.353,error,3.32175874710083
0.355,error,3.3290016651153564
0.045,error,3.330475091934204
0.357,error,2.69053316116333
0.043000000000000003,error,2.699988842010498
0.041,error,2.5105690956115723
0.359,error,2.5236623287200928
0.039,error,2.6733572483062744
0.361,error,2.709179639816284
0.037000000000000005,error,3.125840902328491
0.363,error,3.076169729232788
0.035,error,2.9282779693603516
0.365,error,2.9224040508270264
0.033,error,2.484083890914917
0.367,error,2.96578311920166
0.031,error,3.1707587242126465
0.369,error,2.7076125144958496
0.029,error,2.157306432723999
0.371,error,2.1970884799957275
0.373,error,2.833857536315918
0.027000000000000003,error,2.936237335205078
0.375,error,2.512277364730835
0.025,error,2.5542516708374023
0.377,error,2.3869545459747314
0.023,error,2.388984441757202
0.021,error,2.444633960723877
0.379,error,2.4631083011627197
0.381,error,2.023426055908203
0.019000000000000003,error,2.044372320175171
0.017,error,1.8273978233337402
0.383,error,1.832430124282837
0.385,error,1.6316165924072266
0.015,error,1.6592695713043213
0.013000000000000001,error,1.6027369499206543
0.387,error,1.6576764583587646
0.011,error,1.543485403060913
0.389,error,1.4841485023498535
0.009000000000000001,error,1.4840121269226074
0.391,error,1.467099905014038
0.393,error,1.4895009994506836
0.007,error,1.5174591541290283
0.005,error,1.5619661808013916
0.395,error,1.5409400463104248
0.397,error,1.532616138458252
0.003,error,1.5442118644714355
0.001,error,1.5508301258087158
0.399,error,1.5448668003082275
