epsilon,result,runtime
0.133,error,1.5005357265472412
0.265,error,1.4999194145202637
0.201,error,1.44675874710083
0.199,error,1.487689733505249
0.197,error,1.4690585136413574
0.203,error,1.5020880699157715
0.195,error,1.467684268951416
0.20500000000000002,error,1.4656071662902832
0.193,error,1.4987645149230957
0.20700000000000002,error,1.472867488861084
0.20900000000000002,error,1.4608581066131592
0.191,error,1.5135817527770996
0.189,error,1.4237174987792969
0.211,error,1.4581525325775146
0.213,error,1.439222812652588
0.187,error,1.5028696060180664
0.215,error,1.4786510467529297
0.185,error,1.503831148147583
0.217,error,1.480065107345581
0.183,error,1.5070338249206543
0.181,error,1.4574646949768066
0.219,error,1.4365475177764893
0.179,error,1.4681415557861328
0.221,error,1.4675636291503906
0.177,error,1.4316017627716064
0.223,error,1.4581010341644287
0.17500000000000002,error,1.5565690994262695
0.225,error,1.534745454788208
0.17300000000000001,error,1.4883112907409668
0.227,error,1.4852228164672852
0.171,error,1.4850070476531982
0.229,error,1.490776538848877
0.169,error,1.4218363761901855
0.231,error,1.4367852210998535
0.167,error,1.439321517944336
0.233,error,1.455209732055664
0.165,error,1.4828996658325195
0.23500000000000001,error,1.4891369342803955
0.163,error,1.452155590057373
0.23700000000000002,error,1.4318492412567139
0.161,error,1.4590647220611572
0.23900000000000002,error,1.4690980911254883
0.241,error,1.4649004936218262
0.159,error,1.5119280815124512
0.243,error,1.4879333972930908
0.157,error,1.495375156402588
0.155,error,1.4515938758850098
0.245,error,1.4689280986785889
0.153,error,1.5184171199798584
0.247,error,1.5016942024230957
0.151,error,1.5060007572174072
0.249,error,1.51137113571167
0.149,error,1.5137934684753418
0.251,error,1.5055780410766602
0.253,error,1.490096092224121
0.147,error,1.5031349658966064
0.255,error,1.5319819450378418
0.14500000000000002,error,1.5735530853271484
0.14300000000000002,error,1.4918184280395508
0.257,error,1.469892978668213
0.259,error,1.4899475574493408
0.14100000000000001,error,1.5060925483703613
0.139,error,1.4473161697387695
0.261,error,1.4883906841278076
0.137,error,1.4548733234405518
0.263,error,1.5200495719909668
0.135,error,1.4466655254364014
0.267,error,1.4241549968719482
0.131,error,1.481722354888916
0.269,error,1.4864521026611328
0.129,error,1.4520783424377441
0.271,error,1.4647955894470215
0.127,error,1.469547986984253
0.273,error,1.4285905361175537
0.125,error,1.440077781677246
0.275,error,1.4096007347106934
0.277,error,1.4655466079711914
0.123,error,1.512479543685913
0.279,error,1.4627296924591064
0.121,error,1.4861667156219482
0.281,error,1.463942527770996
0.11900000000000001,error,1.4820988178253174
0.117,error,1.5406763553619385
0.28300000000000003,error,1.5432333946228027
0.28500000000000003,error,1.4858016967773438
0.115,error,1.5003197193145752
0.28700000000000003,error,1.4551444053649902
0.113,error,1.481985092163086
0.28900000000000003,error,1.470458745956421
0.111,error,1.5096826553344727
0.109,error,1.44818115234375
0.291,error,1.4462323188781738
0.293,error,1.4724938869476318
0.107,error,1.5062475204467773
0.10500000000000001,error,1.4989728927612305
0.295,error,1.4834465980529785
0.10300000000000001,error,1.4659743309020996
0.297,error,1.4778425693511963
0.101,error,1.4904260635375977
0.299,error,1.5034549236297607
0.099,error,1.5135982036590576
0.301,error,1.5145130157470703
0.097,error,1.473750114440918
0.303,error,1.492196798324585
0.095,error,1.4626209735870361
0.305,error,1.4332728385925293
0.307,error,1.459254264831543
0.093,error,1.48576021194458
0.309,error,1.4705414772033691
0.091,error,1.490959882736206
0.089,error,1.4301917552947998
0.311,error,1.4613642692565918
0.08700000000000001,error,1.4817910194396973
0.313,error,1.4468202590942383
0.315,error,1.4876501560211182
0.085,error,1.5072054862976074
0.083,error,1.4826889038085938
0.317,error,1.470064640045166
0.319,error,1.4853603839874268
0.081,error,1.4894869327545166
0.321,error,1.4835894107818604
0.079,error,1.4945387840270996
0.077,error,1.4147565364837646
0.323,error,1.462754249572754
0.075,error,1.4946343898773193
0.325,error,1.4404900074005127
0.07300000000000001,error,1.4631781578063965
0.327,error,1.466548204421997
0.07100000000000001,error,1.4472684860229492
0.329,error,1.4586138725280762
0.069,error,1.4592454433441162
0.331,error,1.4972507953643799
0.067,error,1.5766191482543945
0.333,error,1.5266892910003662
0.065,error,1.4553773403167725
0.335,error,1.4644775390625
0.337,error,1.4919970035552979
0.063,error,1.5410857200622559
0.061,error,1.4637930393218994
0.339,error,1.4658558368682861
0.059000000000000004,error,1.5067274570465088
0.341,error,1.4935181140899658
0.057,error,1.5085303783416748
0.343,error,1.4887917041778564
0.34500000000000003,error,1.474639654159546
0.055,error,1.4890720844268799
0.34700000000000003,error,1.4499998092651367
0.053000000000000005,error,1.461183786392212
0.34900000000000003,error,1.4595842361450195
0.051000000000000004,error,1.4635035991668701
0.049,error,1.485246181488037
0.35100000000000003,error,1.485262155532837
0.353,error,1.420123815536499
0.047,error,1.43752121925354
0.045,error,1.4947693347930908
0.355,error,1.5046048164367676
0.043000000000000003,error,1.4265501499176025
0.357,error,1.4449539184570312
0.041,error,1.4794528484344482
0.359,error,1.4672300815582275
0.039,error,1.491872787475586
0.361,error,1.4723894596099854
0.037000000000000005,error,1.5261027812957764
0.363,error,1.5308642387390137
0.035,error,1.465691089630127
0.365,error,1.4523348808288574
0.367,error,1.4869229793548584
0.033,error,1.4937896728515625
0.369,error,1.4742472171783447
0.031,error,1.482797384262085
0.029,error,1.478118658065796
0.371,error,1.530557632446289
0.027000000000000003,error,1.4689042568206787
0.373,error,1.4779198169708252
0.025,error,1.4976410865783691
0.375,error,1.4476666450500488
0.023,error,1.475351095199585
0.377,error,1.461369276046753
0.379,error,1.4969227313995361
0.021,error,1.5246121883392334
0.019000000000000003,error,1.4405407905578613
0.381,error,1.4790146350860596
0.017,error,1.4932124614715576
0.383,error,1.4318559169769287
0.015,error,1.4772238731384277
0.385,error,1.4998126029968262
0.013000000000000001,error,1.4961342811584473
0.387,error,1.4989607334136963
0.389,error,1.5079920291900635
0.011,error,1.5425894260406494
0.391,error,1.5400571823120117
0.009000000000000001,error,1.5645091533660889
0.007,error,1.4948880672454834
0.393,error,1.497931957244873
0.005,error,1.4752752780914307
0.395,error,1.4855897426605225
0.003,error,1.4751811027526855
0.397,error,1.4717316627502441
0.001,error,1.477330207824707
0.399,error,1.481626033782959
