epsilon,result,runtime
0.265,error,1.5318851470947266
0.133,error,1.5353026390075684
0.201,error,1.5050842761993408
0.199,error,1.526648998260498
0.203,error,1.4938013553619385
0.197,error,1.5295701026916504
0.195,error,1.4529004096984863
0.20500000000000002,error,1.4470560550689697
0.20700000000000002,error,1.4765160083770752
0.193,error,1.4946742057800293
0.20900000000000002,error,1.524047613143921
0.191,error,1.5448815822601318
0.211,error,1.469691514968872
0.189,error,1.5101957321166992
0.213,error,1.4758262634277344
0.187,error,1.5296978950500488
0.185,error,1.5152416229248047
0.215,error,1.520301342010498
0.183,error,1.5370616912841797
0.217,error,1.5101442337036133
0.219,error,1.479966163635254
0.181,error,1.4945497512817383
0.179,error,1.4759130477905273
0.221,error,1.5157034397125244
0.223,error,1.480276107788086
0.177,error,1.5608878135681152
0.17500000000000002,error,1.4571185111999512
0.225,error,1.5053398609161377
0.17300000000000001,error,1.4901373386383057
0.227,error,1.5144519805908203
0.171,error,1.5701775550842285
0.229,error,1.508843183517456
0.169,error,1.5296807289123535
0.231,error,1.5153224468231201
0.233,error,1.469935417175293
0.167,error,1.5046749114990234
0.165,error,1.460265874862671
0.23500000000000001,error,1.452988624572754
0.163,error,1.483752727508545
0.23700000000000002,error,1.490105390548706
0.161,error,1.4654591083526611
0.23900000000000002,error,1.4917688369750977
0.241,error,1.4388999938964844
0.159,error,1.4804584980010986
0.157,error,1.4748220443725586
0.243,error,1.4728717803955078
0.155,error,1.5062916278839111
0.245,error,1.508244514465332
0.153,error,1.428985357284546
0.247,error,1.4542346000671387
0.249,error,1.4827518463134766
0.151,error,1.5220129489898682
0.251,error,1.485069751739502
0.149,error,1.5313897132873535
0.253,error,1.4873347282409668
0.147,error,1.5431334972381592
0.14500000000000002,error,1.4999244213104248
0.255,error,1.5136916637420654
0.14300000000000002,error,1.5294873714447021
0.257,error,1.5070915222167969
0.14100000000000001,error,1.4680979251861572
0.259,error,1.4907677173614502
0.139,error,1.5091722011566162
0.261,error,1.4829237461090088
0.137,error,1.4852397441864014
0.263,error,1.4996297359466553
0.135,error,1.4783716201782227
0.267,error,1.4682481288909912
0.269,error,1.5030837059020996
0.131,error,1.5111398696899414
0.129,error,1.487844467163086
0.271,error,1.4963622093200684
0.127,error,1.4825804233551025
0.273,error,1.4875538349151611
0.275,error,1.473966121673584
0.125,error,1.492288589477539
0.277,error,1.5202279090881348
0.123,error,1.5577986240386963
0.279,error,1.536644697189331
0.121,error,1.571584939956665
0.11900000000000001,error,1.4676406383514404
0.281,error,1.5179343223571777
0.117,error,1.5383532047271729
0.28300000000000003,error,1.4924819469451904
0.28500000000000003,error,1.5120818614959717
0.115,error,1.5298657417297363
0.28700000000000003,error,1.4885590076446533
0.113,error,1.5401322841644287
0.111,error,1.4962985515594482
0.28900000000000003,error,1.4740886688232422
0.109,error,1.4760076999664307
0.291,error,1.4861383438110352
0.293,error,1.4663264751434326
0.107,error,1.5159780979156494
0.10500000000000001,error,1.5099027156829834
0.295,error,1.5147595405578613
0.10300000000000001,error,1.5110139846801758
0.297,error,1.5077857971191406
0.299,error,1.4581325054168701
0.101,error,1.5250639915466309
0.099,error,1.4672772884368896
0.301,error,1.4418742656707764
0.303,error,1.450824499130249
0.097,error,1.480405330657959
0.305,error,1.4994611740112305
0.095,error,1.5162346363067627
0.093,error,1.4564530849456787
0.307,error,1.4760336875915527
0.309,error,1.461850643157959
0.091,error,1.493048906326294
0.311,error,1.4217216968536377
0.089,error,1.449777603149414
0.313,error,1.4865484237670898
0.08700000000000001,error,1.522386074066162
0.085,error,1.4824507236480713
0.315,error,1.4905316829681396
0.317,error,1.5005958080291748
0.083,error,1.5425970554351807
0.081,error,1.4552648067474365
0.319,error,1.4588139057159424
0.079,error,1.4650328159332275
0.321,error,1.4821665287017822
0.077,error,1.52528715133667
0.323,error,1.5280535221099854
0.325,error,1.4957869052886963
0.075,error,1.5629568099975586
0.07300000000000001,error,1.4839348793029785
0.327,error,1.5192830562591553
0.07100000000000001,error,1.4289326667785645
0.329,error,1.4216556549072266
0.069,error,1.5269055366516113
0.331,error,1.4958553314208984
0.067,error,1.5201568603515625
