epsilon,result,runtime
0.133,error,1.5246942043304443
0.265,error,1.5709781646728516
0.201,error,1.4716119766235352
0.199,error,1.5420005321502686
0.197,error,1.525585651397705
0.203,error,1.5300688743591309
0.195,error,1.558957576751709
0.20500000000000002,error,1.554244041442871
0.20700000000000002,error,1.5196950435638428
0.193,error,1.5477333068847656
0.20900000000000002,error,1.4877688884735107
0.191,error,1.5207390785217285
0.211,error,1.4988839626312256
0.189,error,1.5493226051330566
0.213,error,1.4972548484802246
0.187,error,1.552865743637085
0.185,error,1.4594314098358154
0.215,error,1.4661734104156494
0.183,error,1.4857523441314697
0.217,error,1.4498229026794434
0.181,error,1.4991531372070312
0.219,error,1.4996023178100586
0.179,error,1.4460797309875488
0.221,error,1.5341417789459229
0.177,error,1.490567684173584
0.223,error,1.424689531326294
0.17500000000000002,error,1.4678263664245605
0.225,error,1.516244649887085
0.17300000000000001,error,1.5403614044189453
0.227,error,1.4805359840393066
0.229,error,1.4729528427124023
0.171,error,1.4957966804504395
0.169,error,1.5090241432189941
0.231,error,1.5237665176391602
0.167,error,1.4848463535308838
0.233,error,1.4815056324005127
0.23500000000000001,error,1.4490458965301514
0.165,error,1.481071949005127
0.163,error,1.505258321762085
0.23700000000000002,error,1.4935414791107178
0.161,error,1.4920053482055664
0.23900000000000002,error,1.524385929107666
0.241,error,1.5251586437225342
0.159,error,1.5803582668304443
0.157,error,1.467627763748169
0.243,error,1.5049216747283936
0.155,error,1.5177147388458252
0.245,error,1.4992141723632812
0.247,error,1.482064962387085
0.153,error,1.533695936203003
0.151,error,1.4571518898010254
0.249,error,1.4526360034942627
0.149,error,1.479743480682373
0.251,error,1.5051279067993164
0.147,error,1.462695598602295
0.253,error,1.4860730171203613
0.14500000000000002,error,1.5043399333953857
0.255,error,1.4575331211090088
0.14300000000000002,error,1.4729149341583252
0.257,error,1.4825718402862549
0.14100000000000001,error,1.4720406532287598
0.259,error,1.4826774597167969
0.261,error,1.4759175777435303
0.139,error,1.5263428688049316
0.263,error,1.463160514831543
0.137,error,1.4848723411560059
0.267,error,1.4549663066864014
0.135,error,1.4653494358062744
0.131,error,1.4542772769927979
0.269,error,1.4659755229949951
0.271,error,1.4462316036224365
0.129,error,1.4914958477020264
0.273,error,1.4943647384643555
0.127,error,1.5206923484802246
0.275,error,1.4799079895019531
0.125,error,1.4987101554870605
0.277,error,1.5031185150146484
0.123,error,1.5241482257843018
0.279,error,1.5180656909942627
0.121,error,1.5552196502685547
0.11900000000000001,error,1.5035717487335205
0.281,error,1.4839801788330078
0.28300000000000003,error,1.4541015625
0.117,error,1.504662036895752
0.115,error,1.4743990898132324
0.28500000000000003,error,1.4905388355255127
0.113,error,1.4480094909667969
0.28700000000000003,error,1.449704885482788
0.111,error,1.4492521286010742
0.28900000000000003,error,1.4590799808502197
0.109,error,1.4514942169189453
0.291,error,1.4385583400726318
0.293,error,1.4693005084991455
0.107,error,1.5552864074707031
0.10500000000000001,error,1.4691882133483887
0.295,error,1.4720377922058105
0.297,error,1.4376108646392822
0.10300000000000001,error,1.4970381259918213
0.101,error,1.4851667881011963
0.299,error,1.4724476337432861
0.301,error,1.5162208080291748
0.099,error,1.5242316722869873
0.097,error,1.4787228107452393
0.303,error,1.4826314449310303
0.305,error,1.510758876800537
0.095,error,1.5190770626068115
0.307,error,1.4751112461090088
0.093,error,1.4862737655639648
0.309,error,1.4516961574554443
0.091,error,1.486037015914917
0.089,error,1.4784142971038818
0.311,error,1.4722771644592285
0.08700000000000001,error,1.5174665451049805
0.313,error,1.508988618850708
0.085,error,1.448911190032959
0.315,error,1.4566092491149902
0.317,error,1.494232177734375
0.083,error,1.5149083137512207
0.319,error,1.527245044708252
0.081,error,1.5370943546295166
0.321,error,1.4785432815551758
0.079,error,1.5057342052459717
0.077,error,1.4931623935699463
0.323,error,1.5523741245269775
0.075,error,1.4682135581970215
0.325,error,1.4778649806976318
0.07300000000000001,error,1.4351060390472412
0.327,error,1.4797523021697998
0.07100000000000001,error,1.515613079071045
0.329,error,1.4431638717651367
0.069,error,1.5333640575408936
0.331,error,1.5158500671386719
0.067,error,1.5697572231292725
0.333,error,1.529080867767334
0.065,error,1.4934237003326416
0.335,error,1.512488842010498
0.063,error,1.5450670719146729
0.337,error,1.5368902683258057
0.339,error,1.4733021259307861
0.061,error,1.5029597282409668
0.341,error,1.5072884559631348
0.059000000000000004,error,1.5279316902160645
0.057,error,1.4817028045654297
0.343,error,1.4803595542907715
0.055,error,1.5033504962921143
0.34500000000000003,error,1.5258774757385254
0.34700000000000003,error,1.4422492980957031
0.053000000000000005,error,1.4992270469665527
0.051000000000000004,error,1.510495662689209
0.34900000000000003,error,1.485375165939331
0.049,error,1.5378763675689697
0.35100000000000003,error,1.5475881099700928
0.047,error,1.473768949508667
0.353,error,1.459946870803833
0.045,error,1.494297742843628
0.355,error,1.5018134117126465
0.357,error,1.492830514907837
0.043000000000000003,error,1.5049717426300049
0.041,error,1.4907772541046143
0.359,error,1.514861822128296
0.361,error,1.5027577877044678
0.039,error,1.5318121910095215
0.037000000000000005,error,1.5028958320617676
0.363,error,1.5064871311187744
0.365,error,1.4866406917572021
0.035,error,1.5153791904449463
0.033,error,1.4582114219665527
0.367,error,1.4551775455474854
0.031,error,1.452674388885498
0.369,error,1.435279369354248
0.371,error,1.4287784099578857
0.029,error,1.4504315853118896
0.027000000000000003,error,1.4758527278900146
0.373,error,1.4586341381072998
0.025,error,1.4824104309082031
0.375,error,1.5107483863830566
0.377,error,1.4780490398406982
0.023,error,1.5270235538482666
0.021,error,1.4767332077026367
0.379,error,1.4875686168670654
0.019000000000000003,error,1.491020679473877
0.381,error,1.5077567100524902
0.383,error,1.4938833713531494
0.017,error,1.5401601791381836
0.015,error,1.466050624847412
0.385,error,1.4989914894104004
0.387,error,1.5068719387054443
0.013000000000000001,error,1.5756163597106934
0.389,error,1.4539263248443604
0.011,error,1.4919660091400146
0.391,error,1.4518768787384033
0.009000000000000001,error,1.468764305114746
0.393,error,1.4587373733520508
0.007,error,1.5447793006896973
0.005,error,1.5826153755187988
0.395,error,1.527109146118164
0.003,error,1.4785850048065186
0.397,error,1.5012075901031494
0.001,error,1.5178372859954834
0.399,error,1.4826712608337402
