epsilon,result,runtime
0.265,error,2.107550859451294
0.133,error,2.128873586654663
0.199,error,2.2121217250823975
0.201,error,2.208559036254883
0.203,error,2.398947238922119
0.197,error,2.4696075916290283
0.195,error,2.5332322120666504
0.20500000000000002,error,2.560485601425171
0.193,error,3.802100896835327
0.20700000000000002,error,3.7283148765563965
0.20900000000000002,error,3.4686567783355713
0.191,error,3.4719302654266357
0.211,error,3.017787456512451
0.189,error,3.0601999759674072
0.187,error,3.1332812309265137
0.213,error,3.0907979011535645
0.215,error,2.5171608924865723
0.185,error,2.567531108856201
0.183,error,2.5437815189361572
0.217,error,2.517080307006836
0.219,error,1.7043018341064453
0.181,error,1.836667776107788
0.179,error,2.0254781246185303
0.221,error,1.9270260334014893
0.177,error,2.0282974243164062
0.223,error,2.021855592727661
0.225,error,2.182161569595337
0.17500000000000002,error,2.2361583709716797
0.17300000000000001,error,2.5234060287475586
0.227,error,2.4892191886901855
0.229,error,3.434464693069458
0.171,error,3.451113700866699
0.169,error,2.971445083618164
0.231,error,2.983855962753296
0.167,error,2.508061647415161
0.233,error,2.530543088912964
0.165,error,2.415043592453003
0.23500000000000001,error,2.3794870376586914
0.23700000000000002,error,2.947003126144409
0.163,error,2.957010507583618
0.23900000000000002,error,3.2417776584625244
0.161,error,3.2459793090820312
0.241,error,2.648444175720215
0.159,error,2.6515872478485107
0.157,error,2.9659018516540527
0.243,error,2.986509323120117
0.245,error,2.4977293014526367
0.155,error,2.523524761199951
0.247,error,2.399214267730713
0.153,error,2.426870346069336
0.151,error,2.316291093826294
0.249,error,2.312067985534668
0.251,error,3.240931749343872
0.149,error,3.2622530460357666
0.253,error,2.736353635787964
0.147,error,2.7370667457580566
0.255,error,3.479167938232422
0.14500000000000002,error,3.4882845878601074
0.14300000000000002,error,2.312694549560547
0.257,error,2.323265314102173
0.259,error,1.7096693515777588
0.14100000000000001,error,1.8677284717559814
0.139,error,1.5049023628234863
0.261,error,1.4217312335968018
