image,Epsilon,runtime
15,0.047,4739.834262132645
29,0.023,4276.701389074326
38,0.047,7247.413824796677
42,0.015,3777.178213596344
52,0.033,4353.201831102371
71,0.029,3186.729320049286
79,0.043,7147.730934619904
84,0.037,7318.560000658035
91,0.031,2152.343500852585
96,0.033,6747.4984126091
101,0.027,4737.915154218674
103,0.039,7353.286816120148
123,0.039,7284.01703619957
140,0.031,3270.464559316635
141,0.031,6576.471719264984
148,0.003,143.0426869392395
158,0.023,3354.089370727539
168,0.015,562.1736271381378
185,0.043,4082.399672269821
193,0.043,6753.516869544983
196,0.037,4913.966540336609
212,0.003,110.41797995567322
214,0.037,8632.75001692772
223,0.043,6805.494228363037
230,0.021,3252.766103029251
243,0.035,5269.664717912674
258,0.031,3302.8574724197388
263,0.043,3971.354756832123
288,0.043,6543.66056728363
301,0.025,539.7570233345032
305,0.025,6789.170394182205
307,0.023,1300.9612202644348
324,0.025,1504.7173788547516
337,0.037,3689.210106611252
340,0.019,407.17149019241333
349,0.031,3174.3541045188904
353,0.033,4193.804732322693
370,0.011,654.2592904567719
371,0.019,371.49071884155273
377,0.041,5464.931820869446
384,0.013,317.6719148159027
387,0.033,2278.54936170578
411,0.029,3549.9425575733185
422,0.027,4354.174450159073
426,0.041,4879.483260154724
436,0.021,3218.835375547409
446,0.033,4118.036513328552
467,0.033,5415.330108165741
468,0.027,2027.717618227005
478,0.053,10379.028539657593
483,0.043,3400.614898920059
497,0.031,6298.013497591019
505,0.053,5859.089935302734
511,0.033,4672.565620660782
518,0.027,4169.245713710785
521,0.013,532.5892426967621
522,0.053,7257.19150018692
560,0.029,2268.700840950012
562,0.075,10107.134068250656
567,0.035,4967.2735414505005
586,0.035,4879.199944972992
599,0.033,4729.678473472595
608,0.033,6839.1750230789185
611,0.023,3792.150037765503
617,0.019,3677.8818578720093
624,0.037,7007.407937288284
632,0.039,4370.801836490631
634,0.031,4347.937949895859
636,0.019,1947.016958475113
640,0.049,4140.041607379913
644,0.025,3902.401507616043
651,0.031,2397.3767318725586
654,0.049,9725.042325496674
683,0.035,5665.709651708603
686,0.043,11825.72853732109
703,0.035,3439.845849275589
723,0.025,4151.021568536758
724,0.061,10822.578258752823
728,0.019,2361.752865552902
730,0.027,708.3493859767914
750,0.031,3327.5203495025635
753,0.031,3900.478291273117
773,0.035,1281.529592514038
786,0.021,2918.209438562393
795,0.037,7077.610719203949
798,0.041,6173.979923248291
803,0.041,6537.927064657211
819,0.033,6456.908434152603
820,0.035,6690.212230920792
824,0.033,6477.492933273315
839,0.033,4002.5635979175568
853,0.029,3055.6675503253937
868,0.017,285.29905819892883
880,0.041,2998.122210741043
883,0.039,869.9520378112793
884,0.019,1580.7667291164398
888,0.029,321.76217246055603
898,0.035,1078.635898590088
904,0.039,6902.469795227051
908,0.057,14647.59247994423
