epsilon,result,runtime
0.265,sat,23.154938220977783
0.131,sat,804.8497595787048
0.133,cancelled,856.7395250797272
0.043000000000000003,unsat,3159.9316363334656
0.085,timeout,3600
0.08700000000000001,unsat,3312.8638966083527
0.089,timeout,3600
0.109,sat,2463.409015893936
0.111,cancelled,1789.4875972270966
0.101,timeout,3600
0.095,timeout,3600
0.099,timeout,3600
0.097,timeout,3600
0.10300000000000001,unsat,3219.7113485336304
0.093,cancelled,3228.4199385643005
0.10500000000000001,unsat,3573.636202812195
0.107,timeout,3600
