image,Epsilon,runtime
5,0.025,13754.291738986969
28,0.031,7784.199090957642
76,0.033,11222.997369289398
82,0.071,13614.150008916855
120,0.001,181.29987263679504
122,0.023,7630.783117055893
159,0.013,10424.18345451355
161,0.017,6941.040622472763
171,0.037,14434.449504852295
187,0.003,136.71569061279297
190,0.015,10528.431920051575
213,0.127,14032.000445365906
220,0.079,20516.17183995247
233,0.045,9125.49563217163
252,0.091,19863.53460741043
253,0.049,17871.93069934845
277,0.033,21950.22981262207
308,0.093,12268.488268852234
317,0.047,18304.971891641617
318,0.025,13357.885191440582
325,0.065,14810.997907161713
339,0.067,13931.401180267334
347,0.075,11120.01807141304
360,0.105,23876.745475530624
365,0.095,8919.450562953949
375,0.045,14103.067360639572
378,0.099,11101.324550628662
381,0.051,11229.757379293442
385,0.083,12104.776262283325
391,0.001,250.2996780872345
400,0.043,13666.026696920395
410,0.057,11437.839176416397
432,0.077,10197.77315235138
448,0.045,6853.250779867172
457,0.021,3807.644319295883
472,0.009,3595.2937746047974
476,0.041,12213.849041938782
477,0.017,9975.985742807388
493,0.015,7088.265764713287
515,0.073,18279.943887472153
530,0.039,17273.821635246277
548,0.027,14961.351210355759
551,0.007,3424.642270565033
555,0.005,3717.0984721183777
558,0.007,3767.6394760608673
563,0.011,3758.0337908267975
568,0.027,14513.039574861526
584,0.003,196.91163206100464
591,0.089,18370.88294863701
619,0.063,3460.418981552124
642,0.045,22299.001828193665
646,0.011,3443.3567457199097
650,0.049,10681.931268453598
657,0.003,189.7556116580963
664,0.025,20525.490656137466
673,0.071,10791.137081623077
674,0.011,7272.728533983231
684,0.095,17212.32803750038
688,0.043,17887.721479177475
693,0.039,12290.53200340271
696,0.013,6981.077337026596
713,0.093,12949.364697694778
714,0.027,18024.606917619705
732,0.059,11434.85900235176
774,0.051,10792.506093502045
801,0.003,1190.9138321876526
807,0.023,10674.50046825409
814,0.083,16479.598079442978
830,0.013,6878.368155002594
862,0.069,13451.962176561356
863,0.027,13610.666415452957
866,0.029,7455.490878582001
873,0.065,5659.233879566193
893,0.005,245.36152267456055
907,0.011,3459.5685575008392
917,0.039,17936.862817525864
931,0.025,11234.02517414093
938,0.007,3733.363134622574
946,0.005,2511.3723001480103
989,0.015,7076.135624885559
1010,0.045,8034.353871583939
