epsilon,result,runtime
0.265,sat,25.435503005981445
0.133,sat,29.15864062309265
0.131,sat,40.545244455337524
0.063,unsat,3491.506284236908
0.065,timeout,3600
0.097,timeout,3600
0.099,timeout,3600
0.095,timeout,3600
0.101,timeout,3600
0.093,timeout,3600
0.10300000000000001,timeout,3600
0.091,unsat,3497.435047388077
0.10500000000000001,timeout,3600
0.11900000000000001,sat,515.2103884220123
0.117,sat,713.2648916244507
0.109,sat,884.1022670269012
0.111,cancelled,975.744863986969
0.107,unsat,3345.393027305603
