epsilon,result,runtime
0.265,error,1.510878324508667
0.133,error,1.544522762298584
0.201,error,1.4427812099456787
0.199,error,1.515834093093872
0.197,error,1.4844870567321777
0.203,error,1.4566981792449951
0.195,error,1.4847338199615479
0.20500000000000002,error,1.4730713367462158
0.20700000000000002,error,1.4715886116027832
0.193,error,1.501986026763916
0.20900000000000002,error,1.4837925434112549
0.191,error,1.5441946983337402
0.189,error,1.558825969696045
0.211,error,1.5294063091278076
0.187,error,1.48374605178833
0.213,error,1.4916093349456787
0.215,error,1.491353988647461
0.185,error,1.5282888412475586
0.183,error,1.5538909435272217
0.217,error,1.5338256359100342
0.219,error,1.4836885929107666
0.181,error,1.5489368438720703
0.179,error,1.5396811962127686
0.221,error,1.5206420421600342
0.177,error,1.4785432815551758
0.223,error,1.5759861469268799
0.17500000000000002,error,1.510237693786621
0.225,error,1.509922742843628
0.17300000000000001,error,1.530975103378296
0.227,error,1.4748504161834717
0.171,error,1.5462555885314941
0.229,error,1.548435926437378
0.231,error,1.5185267925262451
0.169,error,1.5428519248962402
0.233,error,1.4323647022247314
0.167,error,1.465057373046875
0.165,error,1.5020732879638672
0.23500000000000001,error,1.5139336585998535
0.163,error,1.4155960083007812
0.23700000000000002,error,1.4373259544372559
0.23900000000000002,error,1.4559400081634521
0.161,error,1.5235507488250732
0.159,error,1.5194344520568848
0.241,error,1.533092975616455
0.157,error,1.537339210510254
0.243,error,1.50372314453125
0.245,error,1.5573787689208984
0.155,error,1.5798254013061523
0.247,error,1.4609835147857666
0.153,error,1.4874324798583984
0.249,error,1.5619008541107178
0.151,error,1.5808229446411133
0.149,error,1.5520813465118408
0.251,error,1.5779359340667725
0.147,error,1.5002822875976562
0.253,error,1.505873441696167
0.14500000000000002,error,1.4563524723052979
0.255,error,1.4496498107910156
0.257,error,1.4591102600097656
0.14300000000000002,error,1.507131576538086
0.14100000000000001,error,1.5119702816009521
0.259,error,1.5087192058563232
0.139,error,1.4539191722869873
0.261,error,1.4655025005340576
0.137,error,1.4468371868133545
0.263,error,1.434593677520752
0.267,error,1.4708044528961182
0.135,error,1.5058684349060059
0.131,error,1.519019365310669
0.269,error,1.499420404434204
0.271,error,1.4954214096069336
0.129,error,1.514695644378662
0.127,error,1.4746627807617188
0.273,error,1.4913179874420166
0.125,error,1.4832987785339355
0.275,error,1.501723289489746
0.277,error,1.418553113937378
0.123,error,1.504615068435669
0.121,error,1.4983761310577393
0.279,error,1.5398108959197998
0.11900000000000001,error,1.4972419738769531
0.281,error,1.4679157733917236
0.117,error,1.5080444812774658
0.28300000000000003,error,1.4862849712371826
0.115,error,1.5196070671081543
0.28500000000000003,error,1.5159857273101807
0.113,error,1.4953155517578125
0.28700000000000003,error,1.4750099182128906
0.28900000000000003,error,1.4427156448364258
0.111,error,1.465634822845459
0.109,error,1.4606385231018066
0.291,error,1.4548609256744385
0.293,error,1.5233376026153564
0.107,error,1.5324070453643799
0.295,error,1.4977381229400635
0.10500000000000001,error,1.505169153213501
0.297,error,1.479506254196167
0.10300000000000001,error,1.4953279495239258
0.299,error,1.4213862419128418
0.101,error,1.4687244892120361
0.099,error,1.5073974132537842
0.301,error,1.4862980842590332
0.303,error,1.496382713317871
0.097,error,1.524702548980713
0.095,error,1.4992437362670898
0.305,error,1.4884498119354248
0.307,error,1.5104992389678955
0.093,error,1.5467565059661865
0.091,error,1.4322712421417236
0.309,error,1.4454066753387451
0.311,error,1.4805045127868652
0.089,error,1.5453596115112305
0.08700000000000001,error,1.5549068450927734
0.313,error,1.5663025379180908
0.085,error,1.4665935039520264
0.315,error,1.5177221298217773
0.083,error,1.5655882358551025
0.317,error,1.5457763671875
0.081,error,1.5162465572357178
0.319,error,1.5296752452850342
0.079,error,1.5234932899475098
0.321,error,1.4857265949249268
0.077,error,1.5112800598144531
0.323,error,1.4809751510620117
0.075,error,1.4954347610473633
0.325,error,1.5077028274536133
0.07300000000000001,error,1.4613630771636963
0.327,error,1.4620568752288818
0.329,error,1.491039752960205
0.07100000000000001,error,1.5158276557922363
0.069,error,1.489515781402588
0.331,error,1.525972604751587
0.333,error,1.4647207260131836
0.067,error,1.5469565391540527
0.065,error,1.5256872177124023
0.335,error,1.5022625923156738
0.337,error,1.4431226253509521
0.063,error,1.495514154434204
