epsilon,result,runtime
0.265,error,1.5106711387634277
0.133,error,1.5207479000091553
0.199,error,1.4913218021392822
0.201,error,1.5224807262420654
0.203,error,1.4957091808319092
0.197,error,1.538973331451416
0.195,error,1.4782366752624512
0.20500000000000002,error,1.5111229419708252
0.193,error,1.507115364074707
0.20700000000000002,error,1.5099098682403564
0.20900000000000002,error,1.46234130859375
0.191,error,1.519193410873413
0.189,error,1.5243444442749023
0.211,error,1.526944637298584
0.213,error,1.4560790061950684
0.187,error,1.4829156398773193
0.215,error,1.4357988834381104
0.185,error,1.4680147171020508
0.183,error,1.5180492401123047
0.217,error,1.5004804134368896
0.219,error,1.6049830913543701
0.181,error,1.6223561763763428
0.179,error,1.4716079235076904
0.221,error,1.5020804405212402
0.223,error,1.4731037616729736
0.177,error,1.5420136451721191
0.17500000000000002,error,1.57857084274292
0.225,error,1.5527160167694092
0.227,error,1.4605822563171387
0.17300000000000001,error,1.5312142372131348
0.229,error,1.472182035446167
0.171,error,1.5391230583190918
0.169,error,1.501901626586914
0.231,error,1.5281383991241455
0.167,error,1.5046069622039795
0.233,error,1.4807794094085693
0.23500000000000001,error,1.4913289546966553
0.165,error,1.499133825302124
0.23700000000000002,error,1.5201218128204346
0.163,error,1.5278189182281494
0.23900000000000002,error,1.558014154434204
0.161,error,1.5675899982452393
0.159,error,1.5213477611541748
0.241,error,1.528726577758789
0.157,error,1.4932055473327637
0.243,error,1.5020270347595215
0.245,error,1.4557161331176758
0.155,error,1.491931676864624
0.153,error,1.4805266857147217
0.247,error,1.515416145324707
0.151,error,1.4483973979949951
0.249,error,1.4676477909088135
0.149,error,1.5457301139831543
0.251,error,1.4993643760681152
0.253,error,1.4564177989959717
0.147,error,1.482548475265503
0.14500000000000002,error,1.4446613788604736
0.255,error,1.5050673484802246
0.14300000000000002,error,1.456343173980713
0.257,error,1.4317727088928223
0.259,error,1.3920142650604248
0.14100000000000001,error,1.4800348281860352
0.261,error,1.4518237113952637
0.139,error,1.5004889965057373
0.263,error,1.5307233333587646
0.137,error,1.55784273147583
0.135,error,1.5335347652435303
0.267,error,1.5429604053497314
0.131,error,1.4888346195220947
0.269,error,1.4925074577331543
0.271,error,1.4792392253875732
0.129,error,1.5218193531036377
0.127,error,1.447742223739624
0.273,error,1.4685583114624023
0.125,error,1.47084379196167
0.275,error,1.475041389465332
0.277,error,1.4883694648742676
0.123,error,1.521047592163086
0.121,error,1.4869451522827148
0.279,error,1.4855003356933594
0.281,error,1.442422866821289
0.11900000000000001,error,1.460280179977417
0.117,error,1.446488857269287
0.28300000000000003,error,1.4819352626800537
0.115,error,1.5507724285125732
0.28500000000000003,error,1.540747880935669
0.28700000000000003,error,1.5190715789794922
0.113,error,1.5617752075195312
0.28900000000000003,error,1.4870636463165283
0.111,error,1.5244905948638916
0.109,error,1.4973208904266357
0.291,error,1.478501558303833
0.107,error,1.4783368110656738
0.293,error,1.4743359088897705
